'DSS.sb_add_pow_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_pow_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_sum_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_pow_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_modEq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.isSidon_insert_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sqCoeff_le_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sum_pow_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.aT_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_aT_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_aT_sq_sub_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_shifted_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.card_pairsLT' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.aT_sq_eq_sum_expSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_shifted_sq_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.pair_eq_of_sum_prod' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.bose_chowla' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exists_sidon_of_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_singleton' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.infinite_coprime_sq_prime_digit_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sq_digit_sum_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sq_digit_sum_count_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sq_prime_digit_sum_count_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sq_prime_digit_sum_count_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Fw_eq_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Zb_eq_Fw' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_coprime₁' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_mu' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_sigSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_shell_centre' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.base3_odd_shell_forcing' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight3_coprime₁' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight3_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight4_coprime₁' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight4_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight4_mu' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sbWeight_two_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sbWeight_two_mu' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.sigSq_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.coprime_w_one_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.dg_dvd_eval_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.piCong_of_dg_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sum_countEq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.countEq_le_piCong' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.p2_count' depends on axioms: [propext, Classical.choice, hhbr, mmr, Quot.sound]
'DSS.p2_count_S' depends on axioms: [propext, Classical.choice, hhbr, mmr, Quot.sound]
'DSS.p2_count_binary' depends on axioms: [propext, Classical.choice, hhbr, mmr, Quot.sound]
