'DSS.sb_add_pow_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_pow_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_sum_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_pow_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_modEq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.isSidon_insert_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sqCoeff_le_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sum_pow_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.aT_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_aT_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_aT_sq_sub_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_shifted_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.card_pairsLT' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.aT_sq_eq_sum_expSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_shifted_sq_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.pair_eq_of_sum_prod' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.bose_chowla' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exists_sidon_of_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sb_singleton' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.infinite_coprime_sq_prime_digit_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sq_digit_sum_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sq_digit_sum_count_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sq_prime_digit_sum_count_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sq_prime_digit_sum_count_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Fw_eq_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Zb_eq_Fw' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_coprime₁' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_mu' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_sigSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.zeroWeight_shell_centre' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.base3_odd_shell_forcing' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight3_coprime₁' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight3_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight4_coprime₁' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight4_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.exWeight4_mu' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sbWeight_two_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sbWeight_two_mu' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.sigSq_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.coprime_w_one_dg' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.dg_dvd_eval_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.piCong_of_dg_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sum_countEq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.countEq_le_piCong' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.finset_gcd_bezout' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.dg_combination' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.dist01_dg_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.norm_digitalFactor_le_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.two_digit_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.integral_ee_mul_int' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sqPhi_inversion' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.window_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.arc_integral_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.integral_ee_gaussian' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.gaussian_tail_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.norm_etaSq_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.small_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.squareLLT_of_arcs' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.p2_count' depends on axioms: [propext, Classical.choice, hhbr, mmr, Quot.sound]
'DSS.p2_count_S' depends on axioms: [propext, Classical.choice, hhbr, mmr, Quot.sound]
'DSS.p2_count_binary' depends on axioms: [propext, Classical.choice, hhbr, mmr, Quot.sound]
'DSS.rhoSq_dg_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sum_rhoSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sum_rhoSq_coprime' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.coprime_eval_sq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sum_sqCountEq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.gcd_bezout' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.lattice_abs_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.one_sub_cos_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.two_digit_gap_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.binary_domination' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.nboth_prime' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.nboth_prime_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.kappaM_prime' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.kappaM_prime_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.local_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.nboth_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.kappaM_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.kappaM_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.eval_sq_base_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.recipSum_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.eval_pow_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.eval_add_pow_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.eval_linear_blocking' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.eval_linear_blocking_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.infinite_prime_linear_blocking' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sum_ee_mul_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.rhoSq_fourier' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.eval_smulW' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.mu_smulW' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.Weight.sigSq_smulW' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.squareLLT_general' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.tsum_gauss_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.abs_tsum_gauss_shift_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.tsum_gauss_shift_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.gaussian_progression' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.square_p2_of_llt' depends on axioms: [propext, Classical.choice, hhbr, Quot.sound]
'DSS.square_p2_binary' depends on axioms: [propext, Classical.choice, hhbr, Quot.sound]
'DSS.gaussKer_class' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.gaussKer_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'DSS.sqCountCong_window' depends on axioms: [propext, Classical.choice, Quot.sound]
